[ 2026-03-27 10:30:55 | node_23 | INFO ] 🧩 Model added for round 96 (8/10) from ['node_42']
[ 2026-03-27 10:30:55 | node_13 | INFO ] 🧩 Model added for round 96 (5/7) from ['node_1']
[ 2026-03-27 10:30:55 | node_35 | INFO ] 🧩 Model added for round 96 (5/12) from ['node_24']
[ 2026-03-27 10:30:55 | node_25 | INFO ] 🧩 Model added for round 96 (8/9) from ['node_15']
[ 2026-03-27 10:30:55 | node_49 | INFO ] 🧩 Model added for round 96 (3/9) from ['node_26']
[ 2026-03-27 10:30:55 | node_12 | INFO ] 🧩 Model added for round 96 (7/13) from ['node_35']
[ 2026-03-27 10:30:55 | node_48 | INFO ] 🧩 Model added for round 95 (11/11) from ['node_31']
[ 2026-03-27 10:30:55 | node_4 | INFO ] 🧩 Model added for round 96 (7/8) from ['node_37']
[ 2026-03-27 10:30:55 | node_40 | INFO ] 🧩 Model added for round 96 (5/9) from ['node_36']
[ 2026-03-27 10:30:55 | node_46 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 10:30:55 | node_32 | INFO ] 🧩 Model added for round 96 (6/10) from ['node_49']
[ 2026-03-27 10:30:56 | node_15 | INFO ] 🧩 Model added for round 96 (5/9) from ['node_25']
[ 2026-03-27 10:30:56 | node_12 | INFO ] 🧩 Model added for round 96 (8/13) from ['node_32']
[ 2026-03-27 10:30:56 | node_15 | INFO ] 🧩 Model added for round 96 (6/9) from ['node_1']
[ 2026-03-27 10:30:56 | node_48 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 10:30:56 | node_35 | INFO ] 🧩 Model added for round 96 (6/12) from ['node_44']
[ 2026-03-27 10:30:56 | node_30 | INFO ] 🧩 Model added for round 96 (5/7) from ['node_40']
[ 2026-03-27 10:30:56 | node_24 | INFO ] 🧩 Model added for round 96 (3/11) from ['node_42']
[ 2026-03-27 10:30:56 | node_26 | INFO ] 🧩 Model added for round 96 (5/9) from ['node_15']
[ 2026-03-27 10:30:56 | node_37 | INFO ] 🧩 Model added for round 96 (8/12) from ['node_24']
[ 2026-03-27 10:30:57 | node_44 | INFO ] 🧩 Model added for round 96 (4/10) from ['node_36']
[ 2026-03-27 10:30:57 | node_8 | INFO ] 🧩 Model added for round 96 (7/9) from ['node_37']
[ 2026-03-27 10:30:57 | node_19 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 10:30:57 | node_27 | INFO ] 🧩 Model added for round 96 (3/5) from ['node_25']
[ 2026-03-27 10:30:57 | node_19 | INFO ] 🔬 Evaluating...
[ 2026-03-27 10:30:57 | node_48 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 10:30:57 | node_12 | INFO ] 📤 Sending model to 12 direct neighbors: ['node_1', 'node_7', 'node_13', 'node_14', 'node_17', 'node_22', 'node_25', 'node_32', 'node_35', 'node_41', 'node_45', 'node_47']
[ 2026-03-27 10:30:57 | node_16 | INFO ] 🧩 Model added for round 96 (4/6) from ['node_1']
[ 2026-03-27 10:30:57 | node_24 | INFO ] 🧩 Model added for round 96 (4/11) from ['node_35']
[ 2026-03-27 10:30:58 | node_16 | INFO ] 🧩 Model added for round 96 (5/6) from ['node_32']
[ 2026-03-27 10:30:58 | node_31 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 10:30:58 | node_1 | INFO ] 🧩 Model added for round 96 (9/11) from ['node_12']
[ 2026-03-27 10:30:58 | node_36 | INFO ] 🧩 Model added for round 96 (7/9) from ['node_44']
[ 2026-03-27 10:30:58 | node_36 | INFO ] 🧩 Model added for round 96 (8/9) from ['node_40']
[ 2026-03-27 10:30:58 | node_29 | INFO ] 🧩 Model added for round 96 (5/8) from ['node_25']
[ 2026-03-27 10:30:58 | node_44 | INFO ] 🧩 Model added for round 96 (5/10) from ['node_42']
[ 2026-03-27 10:30:58 | node_19 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_accuracy': 0.9959510564804077, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 729888}
[ 2026-03-27 10:30:58 | node_9 | INFO ] 🧩 Model added for round 96 (8/10) from ['node_37']
[ 2026-03-27 10:30:58 | node_19 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 10:30:58 | node_18 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 10:30:58 | node_17 | INFO ] 🧩 Model added for round 96 (6/9) from ['node_1']
[ 2026-03-27 10:30:58 | node_18 | INFO ] 🔬 Evaluating...
[ 2026-03-27 10:30:59 | node_28 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 10:30:59 | node_28 | INFO ] 🔬 Evaluating...
[ 2026-03-27 10:30:59 | node_35 | INFO ] 🧩 Model added for round 96 (7/12) from ['node_32']
[ 2026-03-27 10:30:59 | node_26 | INFO ] 🧩 Model added for round 96 (6/9) from ['node_35']
[ 2026-03-27 10:30:59 | node_42 | INFO ] 🧩 Model added for round 96 (6/11) from ['node_24']
[ 2026-03-27 10:30:59 | node_42 | INFO ] 🧩 Model added for round 96 (7/11) from ['node_44']
[ 2026-03-27 10:30:59 | node_18 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_accuracy': 0.9968510866165161, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 912360}
[ 2026-03-27 10:30:59 | node_18 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 10:30:59 | node_31 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 10:30:59 | node_6 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 10:31:00 | node_6 | INFO ] 🔬 Evaluating...
[ 2026-03-27 10:31:00 | node_24 | INFO ] 🧩 Model added for round 96 (5/11) from ['node_1']
[ 2026-03-27 10:31:00 | node_13 | INFO ] 🧩 Model added for round 96 (6/7) from ['node_12']
[ 2026-03-27 10:31:00 | node_28 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_accuracy': 0.9964908957481384, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 1277304}
[ 2026-03-27 10:31:00 | node_39 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 10:31:00 | node_28 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 10:31:00 | node_14 | INFO ] 🧩 Model added for round 96 (7/9) from ['node_37']
[ 2026-03-27 10:31:00 | node_39 | INFO ] 🔬 Evaluating...
[ 2026-03-27 10:31:00 | node_46 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 10:31:00 | node_19 | INFO ] 🎉 Round 96 of 150 finished.
[ 2026-03-27 10:31:00 | node_46 | INFO ] 🔬 Evaluating...
[ 2026-03-27 10:31:00 | node_19 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 10:31:00 | node_27 | INFO ] 🧩 Model added for round 96 (4/5) from ['node_35']
[ 2026-03-27 10:31:00 | node_19 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 10:31:00 | node_6 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_accuracy': 0.9954116344451904, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 1277304}
[ 2026-03-27 10:31:01 | node_44 | INFO ] 🧩 Model added for round 96 (6/10) from ['node_24']
[ 2026-03-27 10:31:01 | node_6 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 10:31:01 | node_49 | INFO ] 🧩 Model added for round 96 (4/9) from ['node_32']
[ 2026-03-27 10:31:01 | node_38 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 10:31:01 | node_14 | INFO ] 🧩 Model added for round 96 (8/9) from ['node_12']
[ 2026-03-27 10:31:01 | node_38 | INFO ] 🔬 Evaluating...
[ 2026-03-27 10:31:01 | node_39 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_accuracy': 0.9970307946205139, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 1094832}
[ 2026-03-27 10:31:01 | node_46 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_accuracy': 0.9965808987617493, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 912360}
[ 2026-03-27 10:31:01 | node_39 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 10:31:01 | node_46 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 10:31:01 | node_32 | INFO ] 🧩 Model added for round 96 (7/10) from ['node_35']
[ 2026-03-27 10:31:01 | node_35 | INFO ] 🧩 Model added for round 96 (8/12) from ['node_1']
[ 2026-03-27 10:31:01 | node_17 | INFO ] 🧩 Model added for round 96 (7/9) from ['node_37']
[ 2026-03-27 10:31:02 | node_18 | INFO ] 🎉 Round 96 of 150 finished.
[ 2026-03-27 10:31:02 | node_18 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 10:31:02 | node_38 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_accuracy': 0.99568110704422, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 1277304}
[ 2026-03-27 10:31:02 | node_17 | INFO ] 🧩 Model added for round 96 (8/9) from ['node_12']
[ 2026-03-27 10:31:02 | node_18 | INFO ] ♻️ Proactively processing 1 early models for round 96.
[ 2026-03-27 10:31:02 | node_38 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 10:31:02 | node_18 | INFO ] 🧩 Model added for round 96 (1/6) from ['node_24']
[ 2026-03-27 10:31:02 | node_18 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 10:31:02 | node_7 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 10:31:02 | node_47 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 10:31:03 | node_24 | INFO ] 🧩 Model added for round 96 (6/11) from ['node_37']
[ 2026-03-27 10:31:03 | node_19 | INFO ] 🎓 Training step done.
[ 2026-03-27 10:31:03 | node_19 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 10:31:03 | node_7 | INFO ] 🔬 Evaluating...
[ 2026-03-27 10:31:03 | node_47 | INFO ] 🔬 Evaluating...
[ 2026-03-27 10:31:03 | node_19 | INFO ] ✅ [FORCE] Local model added for round 96. (1/5)
[ 2026-03-27 10:31:03 | node_49 | INFO ] 🧩 Model added for round 96 (5/9) from ['node_1']
[ 2026-03-27 10:31:03 | node_44 | INFO ] 🧩 Model added for round 96 (7/10) from ['node_35']
[ 2026-03-27 10:31:03 | node_28 | INFO ] 🎉 Round 96 of 150 finished.
[ 2026-03-27 10:31:03 | node_28 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 10:31:03 | node_28 | INFO ] ♻️ Proactively processing 4 early models for round 96.
