[ 2026-03-27 14:12:39 | node_49 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:39 | node_49 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:39 | node_40 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:39 | node_40 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:40 | node_35 | INFO ] 🧩 Model added for round 149 (9/9) from ['node_23']
[ 2026-03-27 14:12:40 | node_30 | INFO ] 🧩 Model added for round 149 (7/7) from ['node_41']
[ 2026-03-27 14:12:40 | node_33 | INFO ] 🧩 Model added for round 149 (4/4) from ['node_41']
[ 2026-03-27 14:12:40 | node_47 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 14:12:40 | node_34 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:40 | node_30 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:40 | node_35 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:41 | node_28 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:41 | node_41 | INFO ] 🧩 Model added for round 149 (18/18) from ['node_23']
[ 2026-03-27 14:12:41 | node_47 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:41 | node_33 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:41 | node_39 | INFO ] 🧩 Model added for round 149 (8/8) from ['node_41']
[ 2026-03-27 14:12:41 | node_33 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:41 | node_30 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:41 | node_35 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:42 | node_39 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:42 | node_34 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:42 | node_28 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:42 | node_47 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.002285507507622242, 'test_accuracy': 0.9912722706794739, 'test_precision': 0.30814120173454285, 'test_recall': 0.8125209212303162, 'test_f1': 0.43278875946998596, 'communication_cost': 4373448}
