[ 2026-03-28 05:00:34 | node_5 | INFO ] 🧩 Model added for round 144 (1/11) from ['node_40']
[ 2026-03-28 05:00:34 | node_5 | INFO ] 🧩 Model added for round 144 (2/11) from ['node_9']
[ 2026-03-28 05:00:34 | node_37 | INFO ] 🧩 Model added for round 144 (5/10) from ['node_1']
[ 2026-03-28 05:00:34 | node_5 | INFO ] 🧩 Model added for round 144 (3/11) from ['node_11']
[ 2026-03-28 05:00:34 | node_2 | INFO ] 🧩 Model added for round 144 (5/6) from ['node_44']
[ 2026-03-28 05:00:34 | node_28 | INFO ] 🎓 Training step done.
[ 2026-03-28 05:00:34 | node_5 | INFO ] 🧩 Model added for round 144 (4/11) from ['node_24']
[ 2026-03-28 05:00:34 | node_28 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-28 05:00:34 | node_5 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 05:00:34 | node_17 | INFO ] 🧩 Model added for round 144 (8/12) from ['node_29']
[ 2026-03-28 05:00:34 | node_28 | INFO ] ✅ [FORCE] Local model added for round 144. (5/8)
[ 2026-03-28 05:00:35 | node_38 | INFO ] 🎓 Training step done.
[ 2026-03-28 05:00:35 | node_41 | INFO ] 🎉 Round 144 of 150 finished.
[ 2026-03-28 05:00:35 | node_38 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-28 05:00:35 | node_3 | INFO ] 🧩 Model added for round 144 (8/12) from ['node_7']
[ 2026-03-28 05:00:35 | node_41 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-28 05:00:35 | node_38 | INFO ] ✅ [FORCE] Local model added for round 144. (4/11)
[ 2026-03-28 05:00:35 | node_7 | INFO ] 🧩 Model added for round 144 (5/13) from ['node_42']
[ 2026-03-28 05:00:35 | node_41 | INFO ] ♻️ Proactively processing 3 early models for round 144.
[ 2026-03-28 05:00:35 | node_4 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_accuracy': 0.996941089630127, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 2737080}
[ 2026-03-28 05:00:35 | node_41 | INFO ] 🧩 Model added for round 144 (1/9) from ['node_47']
[ 2026-03-28 05:00:35 | node_38 | INFO ] 🧩 Model added for round 144 (5/11) from ['node_32']
[ 2026-03-28 05:00:35 | node_41 | INFO ] 🧩 Model added for round 144 (2/9) from ['node_34']
[ 2026-03-28 05:00:35 | node_4 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 05:00:35 | node_41 | INFO ] 🧩 Model added for round 144 (3/9) from ['node_17']
[ 2026-03-28 05:00:35 | node_41 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 05:00:35 | node_35 | INFO ] 🧩 Model added for round 144 (4/5) from ['node_8']
[ 2026-03-28 05:00:35 | node_32 | INFO ] 🧩 Model added for round 144 (6/12) from ['node_26']
[ 2026-03-28 05:00:35 | node_7 | INFO ] 🧩 Model added for round 144 (6/13) from ['node_44']
[ 2026-03-28 05:00:35 | node_43 | INFO ] 🎉 Round 144 of 150 finished.
[ 2026-03-28 05:00:35 | node_26 | INFO ] 🧩 Model added for round 144 (7/8) from ['node_37']
[ 2026-03-28 05:00:35 | node_43 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-28 05:00:36 | node_37 | INFO ] 🧩 Model added for round 144 (6/10) from ['node_48']
[ 2026-03-28 05:00:36 | node_43 | INFO ] ♻️ Proactively processing 4 early models for round 144.
[ 2026-03-28 05:00:36 | node_43 | INFO ] 🧩 Model added for round 144 (1/10) from ['node_2']
[ 2026-03-28 05:00:36 | node_44 | INFO ] 🧩 Model added for round 144 (5/9) from ['node_1']
[ 2026-03-28 05:00:36 | node_43 | INFO ] 🧩 Model added for round 144 (2/10) from ['node_23']
[ 2026-03-28 05:00:36 | node_43 | INFO ] 🧩 Model added for round 144 (3/10) from ['node_10']
[ 2026-03-28 05:00:36 | node_43 | INFO ] 🧩 Model added for round 144 (4/10) from ['node_13']
[ 2026-03-28 05:00:36 | node_43 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 05:00:36 | node_6 | INFO ] 🎉 Round 144 of 150 finished.
[ 2026-03-28 05:00:36 | node_21 | INFO ] 🎉 Round 144 of 150 finished.
[ 2026-03-28 05:00:36 | node_6 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-28 05:00:36 | node_40 | INFO ] 🧩 Model added for round 144 (6/8) from ['node_8']
[ 2026-03-28 05:00:36 | node_21 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-28 05:00:36 | node_6 | INFO ] ♻️ Proactively processing 6 early models for round 144.
[ 2026-03-28 05:00:36 | node_6 | INFO ] 🧩 Model added for round 144 (1/9) from ['node_11']
[ 2026-03-28 05:00:36 | node_21 | INFO ] ♻️ Proactively processing 7 early models for round 144.
[ 2026-03-28 05:00:36 | node_6 | INFO ] 🧩 Model added for round 144 (2/9) from ['node_8']
[ 2026-03-28 05:00:36 | node_21 | INFO ] 🧩 Model added for round 144 (1/10) from ['node_45']
[ 2026-03-28 05:00:36 | node_6 | INFO ] 🧩 Model added for round 144 (3/9) from ['node_48']
[ 2026-03-28 05:00:36 | node_21 | INFO ] 🧩 Model added for round 144 (2/10) from ['node_17']
[ 2026-03-28 05:00:36 | node_6 | INFO ] 🧩 Model added for round 144 (4/9) from ['node_34']
[ 2026-03-28 05:00:36 | node_5 | INFO ] 🎓 Training step done.
[ 2026-03-28 05:00:36 | node_21 | INFO ] 🧩 Model added for round 144 (3/10) from ['node_10']
[ 2026-03-28 05:00:36 | node_6 | INFO ] 🧩 Model added for round 144 (5/9) from ['node_25']
[ 2026-03-28 05:00:36 | node_22 | INFO ] 🧩 Model added for round 144 (4/9) from ['node_42']
[ 2026-03-28 05:00:36 | node_49 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-28 05:00:36 | node_5 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-28 05:00:36 | node_32 | INFO ] 🧩 Model added for round 144 (7/12) from ['node_37']
[ 2026-03-28 05:00:36 | node_21 | INFO ] 🧩 Model added for round 144 (4/10) from ['node_32']
[ 2026-03-28 05:00:36 | node_5 | INFO ] 🧩 Model added for round 144 (5/11) from ['node_7']
[ 2026-03-28 05:00:36 | node_6 | INFO ] 🧩 Model added for round 144 (6/9) from ['node_37']
[ 2026-03-28 05:00:36 | node_21 | INFO ] 🧩 Model added for round 144 (5/10) from ['node_11']
[ 2026-03-28 05:00:37 | node_5 | INFO ] ✅ [FORCE] Local model added for round 144. (6/11)
[ 2026-03-28 05:00:37 | node_6 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 05:00:37 | node_21 | INFO ] 🧩 Model added for round 144 (6/10) from ['node_24']
[ 2026-03-28 05:00:37 | node_21 | INFO ] 🧩 Model added for round 144 (7/10) from ['node_37']
[ 2026-03-28 05:00:37 | node_49 | INFO ] 🔬 Evaluating...
[ 2026-03-28 05:00:37 | node_21 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 05:00:37 | node_22 | INFO ] 🧩 Model added for round 144 (5/9) from ['node_29']
[ 2026-03-28 05:00:37 | node_37 | INFO ] 🧩 Model added for round 144 (7/10) from ['node_26']
[ 2026-03-28 05:00:37 | node_43 | INFO ] 🧩 Model added for round 144 (5/10) from ['node_32']
