[ 2026-02-16 07:17:44 | 0.0.0.0:57351 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 07:17:44 | 0.0.0.0:50639 | INFO ] ✅ [FORCE] Local model added for round 52. (1/5)
[ 2026-02-16 07:17:44 | 0.0.0.0:43835 | INFO ] 🎓 Training step done.
[ 2026-02-16 07:17:45 | 0.0.0.0:43835 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 07:17:45 | 0.0.0.0:43835 | INFO ] ✅ [FORCE] Local model added for round 52. (1/7)
[ 2026-02-16 07:17:45 | 0.0.0.0:57351 | INFO ] 🎓 Training step done.
[ 2026-02-16 07:17:45 | 0.0.0.0:51729 | INFO ] 🎓 Training step done.
[ 2026-02-16 07:17:45 | 0.0.0.0:57351 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 07:17:45 | 0.0.0.0:51729 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 07:17:45 | 0.0.0.0:50951 | INFO ] 🎉 Round 52 of 100 finished.
[ 2026-02-16 07:17:45 | 0.0.0.0:57351 | INFO ] ✅ [FORCE] Local model added for round 52. (1/9)
[ 2026-02-16 07:17:45 | 0.0.0.0:34309 | INFO ] 🎉 Round 52 of 100 finished.
[ 2026-02-16 07:17:45 | 0.0.0.0:51729 | INFO ] ✅ [FORCE] Local model added for round 52. (1/7)
[ 2026-02-16 07:17:45 | 0.0.0.0:50951 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 07:17:45 | 0.0.0.0:35605 | INFO ] 🎉 Round 52 of 100 finished.
[ 2026-02-16 07:17:45 | 0.0.0.0:34309 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 07:17:45 | 0.0.0.0:35605 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 07:17:45 | 0.0.0.0:50951 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 07:17:45 | 0.0.0.0:42143 | INFO ] 🎉 Round 52 of 100 finished.
[ 2026-02-16 07:17:45 | 0.0.0.0:34309 | INFO ] ♻️ Proactively processing 1 early models for round 52.
[ 2026-02-16 07:17:45 | 0.0.0.0:34309 | INFO ] 🧩 Model added for round 52 (1/9) from ['0.0.0.0:33095']
[ 2026-02-16 07:17:45 | 0.0.0.0:35605 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 07:17:45 | 0.0.0.0:34309 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 07:17:45 | 0.0.0.0:42143 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 07:17:45 | 0.0.0.0:47767 | INFO ] 📤 Sending model to 6 direct neighbors: ['0.0.0.0:53307', '0.0.0.0:35421', '0.0.0.0:51177', '0.0.0.0:43721', '0.0.0.0:37247', '0.0.0.0:38751']
[ 2026-02-16 07:17:45 | 0.0.0.0:50951 | INFO ] 🎓 Training step done.
[ 2026-02-16 07:17:45 | 0.0.0.0:42143 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 07:17:45 | 0.0.0.0:50951 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 07:17:45 | 0.0.0.0:35605 | INFO ] 🎓 Training step done.
[ 2026-02-16 07:17:45 | 0.0.0.0:50951 | INFO ] ✅ [FORCE] Local model added for round 52. (1/9)
[ 2026-02-16 07:17:45 | 0.0.0.0:35605 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 07:17:45 | 0.0.0.0:47837 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 07:17:45 | 0.0.0.0:35605 | INFO ] ✅ [FORCE] Local model added for round 52. (1/6)
[ 2026-02-16 07:17:45 | 0.0.0.0:47837 | INFO ] 🔬 Evaluating...
[ 2026-02-16 07:17:46 | 0.0.0.0:36497 | INFO ] 🧩 Model added for round 52 (2/9) from ['0.0.0.0:33095']
[ 2026-02-16 07:17:46 | 0.0.0.0:53307 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 07:17:46 | 0.0.0.0:47837 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.0, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0}
[ 2026-02-16 07:17:46 | 0.0.0.0:53307 | INFO ] 🔬 Evaluating...
[ 2026-02-16 07:17:46 | 0.0.0.0:47837 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 07:17:46 | 0.0.0.0:35421 | INFO ] 🧩 Model added for round 52 (2/10) from ['0.0.0.0:47767']
[ 2026-02-16 07:17:46 | 0.0.0.0:42143 | INFO ] 🎓 Training step done.
[ 2026-02-16 07:17:46 | 0.0.0.0:34309 | INFO ] 🎓 Training step done.
[ 2026-02-16 07:17:46 | 0.0.0.0:42143 | INFO ] 🛠️ Calling force_add_local_model...
