[ 2026-03-14 02:25:31 | None | INFO ] Created experiment folder: /mnt/c/Users/thaih/HK252/DATN/p2pfl/experiments/fraudTrain.csv_fraudTest.csv_RandomIIDPartitionStrategy_FedAvg_model_build_fn_20260314_022531 and copied fraud.yaml
[ 2026-03-14 02:47:47 | node_2 | INFO ] 📤 Sending model to 2 direct neighbors: ['node', 'node_1']
[ 2026-03-14 02:47:47 | node | INFO ] 🧩 Model added for round 1 (1/3) from ['node_2']
[ 2026-03-14 02:47:47 | node_1 | INFO ] 🧩 Model added for round 1 (1/3) from ['node_2']
[ 2026-03-14 02:50:27 | node_1 | INFO ] 🎓 Training step done.
[ 2026-03-14 02:50:27 | node_1 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-14 02:50:27 | node_1 | INFO ] ✅ [FORCE] Local model added for round 1. (2/3)
[ 2026-03-14 02:50:29 | node | INFO ] 🎓 Training step done.
[ 2026-03-14 02:50:29 | node | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-14 02:50:29 | node | INFO ] ✅ [FORCE] Local model added for round 1. (2/3)
[ 2026-03-14 02:50:32 | node_1 | INFO ] 📤 Sending model to 2 direct neighbors: ['node', 'node_2']
[ 2026-03-14 02:50:32 | node | INFO ] 🧩 Model added for round 1 (3/3) from ['node_1']
[ 2026-03-14 02:50:32 | node_2 | INFO ] 🧩 Model added for round 1 (2/3) from ['node_1']
[ 2026-03-14 02:50:34 | node | INFO ] 📤 Sending model to 2 direct neighbors: ['node_1', 'node_2']
[ 2026-03-14 02:50:34 | node_1 | INFO ] 🧩 Model added for round 1 (3/3) from ['node']
[ 2026-03-14 02:50:34 | node_1 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-14 02:50:34 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-14 02:50:34 | node_2 | INFO ] 🧩 Model added for round 1 (3/3) from ['node']
[ 2026-03-14 02:50:34 | node_2 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-14 02:50:34 | node | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-14 02:50:34 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-14 02:50:34 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-14 02:50:34 | node_2 | INFO ] 🤫 Gossip finished.
[ 2026-03-14 02:50:34 | node | INFO ] 🤫 Gossip finished.
[ 2026-03-14 02:50:34 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-03-14 02:50:34 | node | INFO ] 🔬 Evaluating...
[ 2026-03-14 02:50:35 | node_1 | INFO ] 🤫 Gossip finished.
[ 2026-03-14 02:50:35 | node_1 | INFO ] 🔬 Evaluating...
[ 2026-03-14 02:52:31 | node_2 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.021129848435521126, 'test_accuracy': 0.9944720268249512, 'test_precision': 0.02047085203230381, 'test_recall': 0.020816350355744362, 'test_f1': 0.02044205740094185, 'communication_cost': 95196}
[ 2026-03-14 02:52:31 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-14 02:52:31 | node_2 | INFO ] 🎉 Round 2 of 2 finished.
[ 2026-03-14 02:52:31 | node_2 | INFO ] 😋 Training finished!!
[ 2026-03-14 02:52:40 | node | INFO ] Stopping node...
[ 2026-03-14 02:52:40 | ActorPool | INFO ] Shutting down pool with 0 idle actors.
[ 2026-03-14 02:52:40 | node | INFO ] 🛑 Stopping gossiper...
[ 2026-03-14 02:52:40 | node | INFO ] InMemoryServer stopped at node
[ 2026-03-14 02:52:40 | node_1 | INFO ] Stopping node...
[ 2026-03-14 02:52:40 | ActorPool | INFO ] Shutting down pool with 0 idle actors.
[ 2026-03-14 02:52:40 | node_1 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-14 02:52:40 | node_1 | INFO ] InMemoryServer stopped at node_1
[ 2026-03-14 02:52:40 | node_2 | INFO ] Stopping node...
[ 2026-03-14 02:52:40 | ActorPool | INFO ] Shutting down pool with 1 idle actors.
[ 2026-03-14 02:52:40 | node_2 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-14 02:52:40 | node_2 | INFO ] InMemoryServer stopped at node_2
