[ 2026-02-15 17:22:28 | 0.0.0.0:54771 | INFO ] 🧩 Model added for round 93 (10/12) from ['0.0.0.0:42387']
[ 2026-02-15 17:22:29 | 0.0.0.0:59667 | INFO ] 🧩 Model added for round 93 (4/5) from ['0.0.0.0:36383']
[ 2026-02-15 17:22:29 | 0.0.0.0:55885 | INFO ] 📤 Sending model to 11 direct neighbors: ['0.0.0.0:38701', '0.0.0.0:40387', '0.0.0.0:46071', '0.0.0.0:35715', '0.0.0.0:45321', '0.0.0.0:53995', '0.0.0.0:36991', '0.0.0.0:57969', '0.0.0.0:53873', '0.0.0.0:60407', '0.0.0.0:55433']
[ 2026-02-15 17:22:29 | 0.0.0.0:42785 | INFO ] 🧩 Model added for round 93 (11/12) from ['0.0.0.0:43967']
[ 2026-02-15 17:22:29 | 0.0.0.0:42721 | INFO ] ♻️ Proactively processing 4 early models for round 93.
[ 2026-02-15 17:22:29 | 0.0.0.0:48947 | INFO ] 🧩 Model added for round 93 (3/10) from ['0.0.0.0:48057']
[ 2026-02-15 17:22:29 | 0.0.0.0:54771 | INFO ] 🧩 Model added for round 93 (11/12) from ['0.0.0.0:36253']
[ 2026-02-15 17:22:29 | 0.0.0.0:42721 | INFO ] 🧩 Model added for round 93 (1/8) from ['0.0.0.0:50457']
[ 2026-02-15 17:22:29 | 0.0.0.0:42721 | INFO ] 🧩 Model added for round 93 (2/8) from ['0.0.0.0:53873']
[ 2026-02-15 17:22:29 | 0.0.0.0:48947 | INFO ] 🧩 Model added for round 93 (4/10) from ['0.0.0.0:57243']
[ 2026-02-15 17:22:29 | 0.0.0.0:42721 | INFO ] 🧩 Model added for round 93 (3/8) from ['0.0.0.0:56811']
[ 2026-02-15 17:22:29 | 0.0.0.0:42721 | INFO ] 🧩 Model added for round 93 (4/8) from ['0.0.0.0:33141']
[ 2026-02-15 17:22:29 | 0.0.0.0:45321 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 17:22:29 | 0.0.0.0:42721 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 17:22:29 | 0.0.0.0:38701 | INFO ] 🧩 Model added for round 93 (5/9) from ['0.0.0.0:55885']
[ 2026-02-15 17:22:29 | 0.0.0.0:57037 | INFO ] 🧩 Model added for round 93 (6/10) from ['0.0.0.0:48947']
[ 2026-02-15 17:22:29 | 0.0.0.0:53747 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 17:22:29 | 0.0.0.0:45321 | INFO ] 🔬 Evaluating...
[ 2026-02-15 17:22:29 | 0.0.0.0:42721 | INFO ] 🎓 Training step done.
[ 2026-02-15 17:22:29 | 0.0.0.0:45321 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3325794041156769, 'test_acc': 0.9470587968826294, 'test_precision': 0.7530620098114014, 'test_recall': 0.7375074625015259, 'test_f1': 0.7445812225341797}
[ 2026-02-15 17:22:29 | 0.0.0.0:42721 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 17:22:29 | 0.0.0.0:45321 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 17:22:29 | 0.0.0.0:42721 | INFO ] ✅ [FORCE] Local model added for round 93. (5/8)
[ 2026-02-15 17:22:29 | 0.0.0.0:55433 | INFO ] 📤 Sending model to 10 direct neighbors: ['0.0.0.0:38701', '0.0.0.0:36253', '0.0.0.0:58189', '0.0.0.0:48947', '0.0.0.0:46831', '0.0.0.0:60909', '0.0.0.0:53995', '0.0.0.0:55885', '0.0.0.0:37669', '0.0.0.0:57969']
[ 2026-02-15 17:22:29 | 0.0.0.0:46831 | INFO ] 🧩 Model added for round 93 (2/8) from ['0.0.0.0:41105']
[ 2026-02-15 17:22:30 | 0.0.0.0:33141 | INFO ] 🧩 Model added for round 93 (5/8) from ['0.0.0.0:36383']
[ 2026-02-15 17:22:30 | 0.0.0.0:48389 | INFO ] 🧩 Model added for round 93 (7/11) from ['0.0.0.0:59979']
[ 2026-02-15 17:22:30 | 0.0.0.0:36643 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-02-15 17:22:30 | 0.0.0.0:38701 | INFO ] 🧩 Model added for round 93 (6/9) from ['0.0.0.0:55433']
[ 2026-02-15 17:22:30 | 0.0.0.0:48947 | INFO ] 🧩 Model added for round 93 (5/10) from ['0.0.0.0:57037']
[ 2026-02-15 17:22:30 | 0.0.0.0:36643 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-15 17:22:30 | 0.0.0.0:43967 | INFO ] 🧩 Model added for round 93 (8/12) from ['0.0.0.0:40387']
[ 2026-02-15 17:22:30 | 0.0.0.0:36643 | INFO ] ♻️ Proactively processing 4 early models for round 93.
[ 2026-02-15 17:22:30 | 0.0.0.0:36643 | INFO ] 🧩 Model added for round 93 (1/12) from ['0.0.0.0:38701']
[ 2026-02-15 17:22:30 | 0.0.0.0:54771 | INFO ] 📤 Sending model to 11 direct neighbors: ['0.0.0.0:46071', '0.0.0.0:36253', '0.0.0.0:56811', '0.0.0.0:58189', '0.0.0.0:48947', '0.0.0.0:45497', '0.0.0.0:34281', '0.0.0.0:54897', '0.0.0.0:42387', '0.0.0.0:50457', '0.0.0.0:36991']
[ 2026-02-15 17:22:30 | 0.0.0.0:36643 | INFO ] 🧩 Model added for round 93 (2/12) from ['0.0.0.0:44345']
[ 2026-02-15 17:22:30 | 0.0.0.0:41105 | INFO ] 🧩 Model added for round 93 (6/11) from ['0.0.0.0:48057']
[ 2026-02-15 17:22:30 | 0.0.0.0:36643 | INFO ] 🧩 Model added for round 93 (3/12) from ['0.0.0.0:48389']
[ 2026-02-15 17:22:30 | 0.0.0.0:36643 | INFO ] 🧩 Model added for round 93 (4/12) from ['0.0.0.0:56811']
[ 2026-02-15 17:22:30 | 0.0.0.0:60823 | INFO ] 📤 Sending model to 7 direct neighbors: ['0.0.0.0:46071', '0.0.0.0:33141', '0.0.0.0:58189', '0.0.0.0:57037', '0.0.0.0:46831', '0.0.0.0:50523', '0.0.0.0:57969']
[ 2026-02-15 17:22:30 | 0.0.0.0:42797 | INFO ] 🧩 Model added for round 93 (6/10) from ['0.0.0.0:60407']
[ 2026-02-15 17:22:30 | 0.0.0.0:36643 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 17:22:30 | 0.0.0.0:34281 | INFO ] 🧩 Model added for round 93 (4/6) from ['0.0.0.0:57243']
[ 2026-02-15 17:22:30 | 0.0.0.0:40387 | INFO ] 🧩 Model added for round 93 (6/9) from ['0.0.0.0:55885']
[ 2026-02-15 17:22:31 | 0.0.0.0:37669 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 17:22:31 | 0.0.0.0:40387 | INFO ] 🧩 Model added for round 93 (7/9) from ['0.0.0.0:43967']
[ 2026-02-15 17:22:31 | 0.0.0.0:38701 | INFO ] 🧩 Model added for round 93 (7/9) from ['0.0.0.0:42387']
[ 2026-02-15 17:22:31 | 0.0.0.0:40387 | INFO ] 🧩 Model added for round 93 (8/9) from ['0.0.0.0:36253']
[ 2026-02-15 17:22:31 | 0.0.0.0:48057 | INFO ] 🧩 Model added for round 93 (2/6) from ['0.0.0.0:48947']
[ 2026-02-15 17:22:31 | 0.0.0.0:36643 | INFO ] 🎓 Training step done.
