[ 2026-03-14 05:27:22 | None | INFO ] Created experiment folder: /mnt/c/Users/thaih/HK252/DATN/p2pfl/experiments/fraudTrain.csv_fraudTest.csv_RandomIIDPartitionStrategy_DFedAdp_model_build_fn_20260314_052722 and copied fraud.yaml
[ 2026-03-14 05:28:42 | node | INFO ] 🚂 Train set of 3 nodes (all available nodes): ['node_1', 'node_2', 'node']
[ 2026-03-14 05:28:42 | node_2 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-14 05:28:42 | node_1 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-14 05:28:42 | node | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-14 05:38:03 | node_1 | INFO ] 🎓 Training step done.
[ 2026-03-14 05:38:03 | node_1 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-14 05:38:03 | node_1 | INFO ] ✅ [FORCE] Local model added for round 0. (1/3)
[ 2026-03-14 05:38:04 | node | INFO ] 🎓 Training step done.
[ 2026-03-14 05:38:04 | node | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-14 05:38:04 | node | INFO ] ✅ [FORCE] Local model added for round 0. (1/3)
[ 2026-03-14 05:38:08 | node_1 | INFO ] 📤 Sending model to 2 direct neighbors: ['node', 'node_2']
[ 2026-03-14 05:38:08 | node | INFO ] 🧩 Model added for round 0 (2/3) from ['node_1']
[ 2026-03-14 05:38:08 | node_2 | INFO ] 🧩 Model added for round 0 (1/3) from ['node_1']
[ 2026-03-14 05:38:09 | node | INFO ] 📤 Sending model to 2 direct neighbors: ['node_1', 'node_2']
[ 2026-03-14 05:38:09 | node_1 | INFO ] 🧩 Model added for round 0 (2/3) from ['node']
[ 2026-03-14 05:38:09 | node_2 | INFO ] 🧩 Model added for round 0 (2/3) from ['node']
[ 2026-03-14 05:38:39 | node_2 | INFO ] 🎓 Training step done.
[ 2026-03-14 05:38:39 | node_2 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-14 05:38:39 | node_2 | INFO ] ✅ [FORCE] Local model added for round 0. (3/3)
[ 2026-03-14 05:38:44 | node_2 | INFO ] 📤 Sending model to 2 direct neighbors: ['node', 'node_1']
[ 2026-03-14 05:38:44 | node | INFO ] 🧩 Model added for round 0 (3/3) from ['node_2']
[ 2026-03-14 05:38:44 | node | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-14 05:38:44 | node_1 | INFO ] 🧩 Model added for round 0 (3/3) from ['node_2']
[ 2026-03-14 05:38:44 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-14 05:38:44 | node_1 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-14 05:38:44 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-14 05:38:44 | node_2 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-14 05:38:44 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-14 05:38:44 | node_2 | INFO ] 🤫 Gossip finished.
[ 2026-03-14 05:38:44 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-03-14 05:38:45 | node_1 | INFO ] 🤫 Gossip finished.
[ 2026-03-14 05:38:45 | node_1 | INFO ] 🔬 Evaluating...
[ 2026-03-14 05:38:45 | node | INFO ] 🤫 Gossip finished.
[ 2026-03-14 05:38:45 | node | INFO ] 🔬 Evaluating...
[ 2026-03-14 05:41:53 | node_2 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.01824595220386982, 'test_accuracy': 0.9960753321647644, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 190206}
[ 2026-03-14 05:41:53 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-14 05:41:53 | node_2 | INFO ] 🎉 Round 1 of 2 finished.
[ 2026-03-14 05:41:53 | node_2 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 3
[ 2026-03-14 05:41:53 | node_2 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-14 05:41:56 | node | INFO ] 📈 Evaluated. Results: {'test_loss': 0.01733110472559929, 'test_accuracy': 0.996361494064331, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 190206}
[ 2026-03-14 05:41:56 | node | INFO ] 📢 Broadcasting metrics.
[ 2026-03-14 05:41:56 | node_1 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.032452140003442764, 'test_accuracy': 0.9959836006164551, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 190206}
[ 2026-03-14 05:41:56 | node | INFO ] 🎉 Round 1 of 2 finished.
[ 2026-03-14 05:41:56 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-14 05:41:56 | node | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 3
[ 2026-03-14 05:41:56 | node | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-14 05:41:56 | node_1 | INFO ] 🎉 Round 1 of 2 finished.
[ 2026-03-14 05:41:56 | node_1 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 3
[ 2026-03-14 05:41:56 | node_1 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-14 05:48:13 | node_2 | INFO ] 🎓 Training step done.
[ 2026-03-14 05:48:13 | node_2 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-14 05:48:13 | node_2 | INFO ] ✅ [FORCE] Local model added for round 1. (1/3)
[ 2026-03-14 05:48:17 | node_1 | INFO ] 🎓 Training step done.
[ 2026-03-14 05:48:17 | node_1 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-14 05:48:17 | node_1 | INFO ] ✅ [FORCE] Local model added for round 1. (1/3)
[ 2026-03-14 05:48:18 | node_2 | INFO ] 📤 Sending model to 2 direct neighbors: ['node', 'node_1']
[ 2026-03-14 05:48:18 | node | INFO ] 🧩 Model added for round 1 (1/3) from ['node_2']
[ 2026-03-14 05:48:18 | node_1 | INFO ] 🧩 Model added for round 1 (2/3) from ['node_2']
[ 2026-03-14 05:48:19 | node | INFO ] 🎓 Training step done.
[ 2026-03-14 05:48:19 | node | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-14 05:48:19 | node | INFO ] ✅ [FORCE] Local model added for round 1. (2/3)
[ 2026-03-14 05:48:22 | node_1 | INFO ] 📤 Sending model to 2 direct neighbors: ['node', 'node_2']
[ 2026-03-14 05:48:22 | node | INFO ] 🧩 Model added for round 1 (3/3) from ['node_1']
[ 2026-03-14 05:48:23 | node_2 | INFO ] 🧩 Model added for round 1 (2/3) from ['node_1']
[ 2026-03-14 05:48:24 | node | INFO ] 📤 Sending model to 2 direct neighbors: ['node_1', 'node_2']
[ 2026-03-14 05:48:24 | node_1 | INFO ] 🧩 Model added for round 1 (3/3) from ['node']
[ 2026-03-14 05:48:24 | node_1 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-14 05:48:24 | node_2 | INFO ] 🧩 Model added for round 1 (3/3) from ['node']
[ 2026-03-14 05:48:24 | node_2 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-14 05:48:24 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-14 05:48:24 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-14 05:48:24 | node | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-14 05:48:24 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-14 05:48:24 | node | INFO ] 🤫 Gossip finished.
[ 2026-03-14 05:48:24 | node | INFO ] 🔬 Evaluating...
[ 2026-03-14 05:48:25 | node_2 | INFO ] 🤫 Gossip finished.
[ 2026-03-14 05:48:26 | node_1 | INFO ] 🤫 Gossip finished.
[ 2026-03-14 05:48:26 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-03-14 05:48:26 | node_1 | INFO ] 🔬 Evaluating...
[ 2026-03-14 05:51:23 | node_2 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.014430982992053032, 'test_accuracy': 0.9967555403709412, 'test_precision': 0.03480908274650574, 'test_recall': 0.03296642005443573, 'test_f1': 0.03348467871546745, 'communication_cost': 285094}
[ 2026-03-14 05:51:23 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-14 05:51:23 | node_2 | INFO ] 🎉 Round 2 of 2 finished.
[ 2026-03-14 05:51:23 | node_2 | INFO ] 😋 Training finished!!
[ 2026-03-14 05:51:23 | node | INFO ] 📈 Evaluated. Results: {'test_loss': 0.016015823930501938, 'test_accuracy': 0.9969013333320618, 'test_precision': 0.0320449136197567, 'test_recall': 0.03118116967380047, 'test_f1': 0.031382713466882706, 'communication_cost': 285094}
[ 2026-03-14 05:51:23 | node | INFO ] 📢 Broadcasting metrics.
[ 2026-03-14 05:51:23 | node | INFO ] 🎉 Round 2 of 2 finished.
[ 2026-03-14 05:51:23 | node | INFO ] 😋 Training finished!!
[ 2026-03-14 05:51:24 | node_1 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.028648454695940018, 'test_accuracy': 0.9950604438781738, 'test_precision': 0.007169078104197979, 'test_recall': 0.0069099548272788525, 'test_f1': 0.00696753803640604, 'communication_cost': 285094}
[ 2026-03-14 05:51:24 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-14 05:51:24 | node_1 | INFO ] 🎉 Round 2 of 2 finished.
[ 2026-03-14 05:51:24 | node_1 | INFO ] 😋 Training finished!!
[ 2026-03-14 05:51:25 | None | INFO ] 🏁 All nodes finished training. Waiting 10s for final synchronization...
[ 2026-03-14 05:51:35 | node | INFO ] Stopping node...
[ 2026-03-14 05:51:35 | ActorPool | INFO ] Shutting down pool with 1 idle actors.
[ 2026-03-14 05:51:35 | node | INFO ] 🛑 Stopping gossiper...
[ 2026-03-14 05:51:35 | node | INFO ] InMemoryServer stopped at node
[ 2026-03-14 05:51:35 | node_1 | INFO ] Stopping node...
[ 2026-03-14 05:51:35 | ActorPool | INFO ] Shutting down pool with 1 idle actors.
[ 2026-03-14 05:51:35 | node_1 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-14 05:51:35 | node_1 | INFO ] InMemoryServer stopped at node_1
[ 2026-03-14 05:51:35 | node_2 | INFO ] Stopping node...
[ 2026-03-14 05:51:35 | ActorPool | INFO ] Shutting down pool with 1 idle actors.
[ 2026-03-14 05:51:35 | node_2 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-14 05:51:35 | node_2 | INFO ] InMemoryServer stopped at node_2
