[ 2026-05-15 12:05:46 | node_1 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:47 | node_49 | INFO ] 🎓 Training step done.
[ 2026-05-15 12:05:47 | node_41 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-15 12:05:47 | node_25 | INFO ] 📈 Evaluated. Results: {'test_loss': 1.1157644987106323, 'test_acc': 0.8032345175743103, 'test_precision': 0.3396226465702057, 'test_recall': 0.3541039228439331, 'test_f1': 0.3178529739379883, 'communication_cost': 26343772}
[ 2026-05-15 12:05:47 | node_1 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.924107551574707, 'test_acc': 0.6937500238418579, 'test_precision': 0.43834757804870605, 'test_recall': 0.3956565856933594, 'test_f1': 0.405224084854126, 'communication_cost': 37633960}
[ 2026-05-15 12:05:47 | node_3 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-15 12:05:47 | node_41 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 12:05:47 | node_25 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:47 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:47 | node_3 | INFO ] ✅ [FORCE] Local model added for round 94. (1/7)
[ 2026-05-15 12:05:47 | node_3 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_7', 'node_13', 'node_21', 'node_26', 'node_38', 'node_42']
[ 2026-05-15 12:05:47 | node_38 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-15 12:05:47 | node_41 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:47 | node_28 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-15 12:05:47 | node_38 | INFO ] ✅ [FORCE] Local model added for round 94. (2/7)
[ 2026-05-15 12:05:47 | node_28 | INFO ] ✅ [FORCE] Local model added for round 94. (2/10)
[ 2026-05-15 12:05:48 | node_38 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_2', 'node_3', 'node_12', 'node_16', 'node_20', 'node_37']
[ 2026-05-15 12:05:48 | node_28 | INFO ] 📤 Sending model to 9 direct neighbors: ['node_4', 'node_14', 'node_16', 'node_22', 'node_29', 'node_30', 'node_33', 'node_36', 'node_49']
[ 2026-05-15 12:05:48 | node_39 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-15 12:05:48 | node_41 | INFO ] 🎓 Training step done.
[ 2026-05-15 12:05:48 | node_39 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 12:05:48 | node_7 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-15 12:05:48 | node_21 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-15 12:05:48 | node_35 | INFO ] 🧩 Model added for round 94 (2/10) from ['node_34']
[ 2026-05-15 12:05:49 | node_21 | INFO ] ✅ [FORCE] Local model added for round 94. (2/10)
[ 2026-05-15 12:05:49 | node_22 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-15 12:05:49 | node_7 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 12:05:49 | node_39 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:49 | node_2 | INFO ] 🧩 Model added for round 94 (2/6) from ['node_38']
[ 2026-05-15 12:05:49 | node_4 | INFO ] 🧩 Model added for round 94 (2/9) from ['node_28']
[ 2026-05-15 12:05:49 | node_21 | INFO ] 📤 Sending model to 9 direct neighbors: ['node_1', 'node_3', 'node_4', 'node_10', 'node_24', 'node_31', 'node_40', 'node_43', 'node_46']
[ 2026-05-15 12:05:49 | node_38 | INFO ] 🧩 Model added for round 94 (3/7) from ['node_2']
[ 2026-05-15 12:05:49 | node_27 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-15 12:05:49 | node_22 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 12:05:49 | node_9 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-15 12:05:49 | node_24 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-15 12:05:49 | node_7 | INFO ] ♻️ Proactively processing 2 early models for round 94.
[ 2026-05-15 12:05:49 | node_7 | INFO ] 🧩 Model added for round 94 (1/11) from ['node_34']
[ 2026-05-15 12:05:49 | node_27 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:49 | node_44 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-15 12:05:49 | node_24 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 12:05:49 | node_39 | INFO ] 🎓 Training step done.
[ 2026-05-15 12:05:49 | node_22 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:49 | node_7 | INFO ] 🧩 Model added for round 94 (2/11) from ['node_3']
[ 2026-05-15 12:05:49 | node_9 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:49 | node_21 | INFO ] 🧩 Model added for round 94 (3/10) from ['node_3']
[ 2026-05-15 12:05:49 | node_44 | INFO ] ✅ [FORCE] Local model added for round 94. (2/8)
[ 2026-05-15 12:05:49 | node_7 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:49 | node_44 | INFO ] 📤 Sending model to 7 direct neighbors: ['node', 'node_1', 'node_9', 'node_10', 'node_15', 'node_30', 'node_43']
[ 2026-05-15 12:05:50 | node_24 | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-15 12:05:50 | node_27 | INFO ] 📈 Evaluated. Results: {'test_loss': 1.1962095499038696, 'test_acc': 0.7039473652839661, 'test_precision': 0.5580618381500244, 'test_recall': 0.5481101870536804, 'test_f1': 0.5337960124015808, 'communication_cost': 30107168}
[ 2026-05-15 12:05:50 | node_24 | INFO ] 🧩 Model added for round 94 (1/8) from ['node_2']
[ 2026-05-15 12:05:50 | node_9 | INFO ] 📈 Evaluated. Results: {'test_loss': 1.4740873575210571, 'test_acc': 0.5267034769058228, 'test_precision': 0.21711498498916626, 'test_recall': 0.14322376251220703, 'test_f1': 0.15998250246047974, 'communication_cost': 45160752}
[ 2026-05-15 12:05:50 | node_24 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:50 | node_27 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:50 | node_3 | INFO ] 🧩 Model added for round 94 (2/7) from ['node_21']
[ 2026-05-15 12:05:50 | node_23 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-15 12:05:50 | node_9 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:50 | node_16 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-15 12:05:50 | node_23 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 12:05:50 | node_46 | INFO ] 🧩 Model added for round 94 (1/9) from ['node_4']
[ 2026-05-15 12:05:50 | node_22 | INFO ] 🎓 Training step done.
[ 2026-05-15 12:05:50 | node_18 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-15 12:05:50 | node_16 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 12:05:50 | node_20 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-15 12:05:51 | node_33 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-15 12:05:51 | node_33 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 12:05:51 | node_3 | INFO ] 🧩 Model added for round 94 (3/7) from ['node_38']
[ 2026-05-15 12:05:51 | node_23 | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-15 12:05:51 | node_18 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 12:05:51 | node_20 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 12:05:51 | node_35 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-15 12:05:51 | node_16 | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-15 12:05:51 | node_7 | INFO ] 🎓 Training step done.
[ 2026-05-15 12:05:51 | node_23 | INFO ] 🧩 Model added for round 94 (1/10) from ['node_5']
[ 2026-05-15 12:05:51 | node_46 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-15 12:05:51 | node_35 | INFO ] ✅ [FORCE] Local model added for round 94. (3/10)
[ 2026-05-15 12:05:51 | node_33 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:51 | node_23 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:51 | node_18 | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-15 12:05:51 | node_35 | INFO ] 📤 Sending model to 9 direct neighbors: ['node_7', 'node_15', 'node_24', 'node_25', 'node_30', 'node_34', 'node_37', 'node_43', 'node_46']
[ 2026-05-15 12:05:51 | node_16 | INFO ] 🧩 Model added for round 94 (1/11) from ['node_4']
[ 2026-05-15 12:05:51 | node_46 | INFO ] ✅ [FORCE] Local model added for round 94. (2/9)
[ 2026-05-15 12:05:51 | node_24 | INFO ] 🎓 Training step done.
[ 2026-05-15 12:05:51 | node_20 | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-15 12:05:51 | node_18 | INFO ] 🧩 Model added for round 94 (1/7) from ['node_19']
[ 2026-05-15 12:05:51 | node_46 | INFO ] 📤 Sending model to 8 direct neighbors: ['node', 'node_4', 'node_11', 'node_21', 'node_30', 'node_35', 'node_40', 'node_41']
[ 2026-05-15 12:05:51 | node_16 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:51 | node_20 | INFO ] 🧩 Model added for round 94 (1/11) from ['node_2']
[ 2026-05-15 12:05:52 | node_18 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:52 | node_31 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-15 12:05:52 | node_20 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:52 | node_49 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-15 12:05:52 | node_31 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 12:05:52 | node_7 | INFO ] 🧩 Model added for round 94 (3/11) from ['node_35']
[ 2026-05-15 12:05:52 | node_49 | INFO ] ✅ [FORCE] Local model added for round 94. (2/9)
