[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] 🧩 Model added for round 93 (5/11) from ['0.0.0.0:37661']
[ 2026-02-16 03:32:38 | 0.0.0.0:49631 | INFO ] 🧩 Model added for round 93 (7/7) from ['0.0.0.0:33615']
[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] 🧩 Model added for round 93 (6/11) from ['0.0.0.0:34769']
[ 2026-02-16 03:32:38 | 0.0.0.0:33053 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] 🧩 Model added for round 93 (7/11) from ['0.0.0.0:59459']
[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] 🧩 Model added for round 93 (8/11) from ['0.0.0.0:51839']
[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] 🧩 Model added for round 93 (9/11) from ['0.0.0.0:59201']
[ 2026-02-16 03:32:38 | 0.0.0.0:42937 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 03:32:38 | 0.0.0.0:49631 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:39 | 0.0.0.0:34769 | INFO ] 🧩 Model added for round 93 (8/10) from ['0.0.0.0:33443']
[ 2026-02-16 03:32:39 | 0.0.0.0:40721 | INFO ] 🎓 Training step done.
[ 2026-02-16 03:32:39 | 0.0.0.0:40721 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 03:32:39 | 0.0.0.0:40721 | INFO ] ✅ [FORCE] Local model added for round 93. (10/11)
[ 2026-02-16 03:32:39 | 0.0.0.0:59459 | INFO ] 🧩 Model added for round 93 (11/12) from ['0.0.0.0:33615']
[ 2026-02-16 03:32:39 | 0.0.0.0:49631 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:40 | 0.0.0.0:44715 | INFO ] 🧩 Model added for round 93 (12/12) from ['0.0.0.0:40463']
[ 2026-02-16 03:32:40 | 0.0.0.0:33443 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:40 | 0.0.0.0:44715 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:40 | 0.0.0.0:59095 | INFO ] 🧩 Model added for round 93 (10/10) from ['0.0.0.0:33615']
[ 2026-02-16 03:32:41 | 0.0.0.0:59095 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:41 | 0.0.0.0:40721 | INFO ] 🧩 Model added for round 93 (11/11) from ['0.0.0.0:40463']
[ 2026-02-16 03:32:41 | 0.0.0.0:44715 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:41 | 0.0.0.0:37753 | INFO ] 🤫 Gossip finished.
[ 2026-02-16 03:32:41 | 0.0.0.0:33443 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:41 | 0.0.0.0:37753 | INFO ] 🔬 Evaluating...
[ 2026-02-16 03:32:42 | 0.0.0.0:37753 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.16949152946472168, 'test_precision': 0.033898305147886276, 'test_recall': 0.08677966147661209, 'test_f1': 0.048752617090940475}
[ 2026-02-16 03:32:42 | 0.0.0.0:34769 | INFO ] 🧩 Model added for round 93 (9/10) from ['0.0.0.0:33615']
[ 2026-02-16 03:32:42 | 0.0.0.0:37753 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 03:32:42 | 0.0.0.0:59095 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:42 | 0.0.0.0:55193 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 03:32:42 | 0.0.0.0:55193 | INFO ] 🔬 Evaluating...
[ 2026-02-16 03:32:42 | 0.0.0.0:50617 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 03:32:43 | 0.0.0.0:55193 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.1034482792019844, 'test_precision': 0.014778325334191322, 'test_recall': 0.10509032011032104, 'test_f1': 0.025912679731845856}
[ 2026-02-16 03:32:43 | 0.0.0.0:50617 | INFO ] 🔬 Evaluating...
[ 2026-02-16 03:32:43 | 0.0.0.0:60559 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 03:32:43 | 0.0.0.0:55193 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 03:32:43 | 0.0.0.0:58811 | INFO ] 📤 Sending model to 4 direct neighbors: ['0.0.0.0:40611', '0.0.0.0:45373', '0.0.0.0:60559', '0.0.0.0:58713']
[ 2026-02-16 03:32:43 | 0.0.0.0:60559 | INFO ] 🔬 Evaluating...
[ 2026-02-16 03:32:43 | 0.0.0.0:50617 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.0, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0}
[ 2026-02-16 03:32:43 | 0.0.0.0:40463 | INFO ] 🧩 Model added for round 93 (10/11) from ['0.0.0.0:33615']
[ 2026-02-16 03:32:43 | 0.0.0.0:49453 | INFO ] 📤 Sending model to 4 direct neighbors: ['0.0.0.0:34283', '0.0.0.0:45373', '0.0.0.0:41511', '0.0.0.0:58713']
[ 2026-02-16 03:32:43 | 0.0.0.0:50617 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 03:32:43 | 0.0.0.0:60559 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.007299270015209913, 'test_precision': 0.0014598540728911757, 'test_recall': 0.09343066066503525, 'test_f1': 0.0028747895266860723}
[ 2026-02-16 03:32:43 | 0.0.0.0:60559 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 03:32:43 | 0.0.0.0:41053 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 03:32:43 | 0.0.0.0:44981 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 03:32:43 | 0.0.0.0:41053 | INFO ] 🔬 Evaluating...
[ 2026-02-16 03:32:43 | 0.0.0.0:44981 | INFO ] 🔬 Evaluating...
[ 2026-02-16 03:32:43 | 0.0.0.0:37753 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-02-16 03:32:43 | 0.0.0.0:41053 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.04672897234559059, 'test_precision': 0.009345794096589088, 'test_recall': 0.11962617188692093, 'test_f1': 0.017337124794721603}
[ 2026-02-16 03:32:43 | 0.0.0.0:37753 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 03:32:43 | 0.0.0.0:41053 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 03:32:44 | 0.0.0.0:44981 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.008547008968889713, 'test_precision': 0.0008547009201720357, 'test_recall': 0.10000000149011612, 'test_f1': 0.0016949152341112494}
[ 2026-02-16 03:32:44 | 0.0.0.0:44981 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 03:32:44 | 0.0.0.0:37753 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 03:32:44 | 0.0.0.0:40721 | INFO ] 📤 Sending model to 10 direct neighbors: ['0.0.0.0:37661', '0.0.0.0:50223', '0.0.0.0:40863', '0.0.0.0:51839', '0.0.0.0:59201', '0.0.0.0:59459', '0.0.0.0:42433', '0.0.0.0:34769', '0.0.0.0:38055', '0.0.0.0:40463']
[ 2026-02-16 03:32:44 | 0.0.0.0:47715 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 03:32:44 | 0.0.0.0:37753 | INFO ] 🎓 Training step done.
[ 2026-02-16 03:32:44 | 0.0.0.0:47715 | INFO ] 🔬 Evaluating...
[ 2026-02-16 03:32:44 | 0.0.0.0:37753 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 03:32:44 | 0.0.0.0:37753 | INFO ] ✅ [FORCE] Local model added for round 94. (1/6)
[ 2026-02-16 03:32:44 | 0.0.0.0:47715 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.04494382068514824, 'test_precision': 0.01123595517128706, 'test_recall': 0.08988764137029648, 'test_f1': 0.019975030794739723}
[ 2026-02-16 03:32:44 | 0.0.0.0:37661 | INFO ] 🧩 Model added for round 93 (11/11) from ['0.0.0.0:40721']
[ 2026-02-16 03:32:44 | 0.0.0.0:47715 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 03:32:44 | 0.0.0.0:55193 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-02-16 03:32:44 | 0.0.0.0:55193 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 03:32:45 | 0.0.0.0:55193 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 03:32:45 | 0.0.0.0:39753 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 03:32:45 | 0.0.0.0:37661 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:45 | 0.0.0.0:39753 | INFO ] 🔬 Evaluating...
[ 2026-02-16 03:32:45 | 0.0.0.0:33615 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:45 | 0.0.0.0:55193 | INFO ] 🎓 Training step done.
[ 2026-02-16 03:32:45 | 0.0.0.0:55193 | INFO ] 🛠️ Calling force_add_local_model...
