[ 2026-05-14 05:20:45 | node | INFO ] Heartbeat timeout for node_15 (405.9108099937439). Removing...
[ 2026-05-14 05:20:45 | node | INFO ] Heartbeat timeout for node_30 (302.8378438949585). Removing...
[ 2026-05-14 05:20:45 | node | INFO ] Heartbeat timeout for node_32 (300.21289467811584). Removing...
[ 2026-05-14 05:20:45 | node | INFO ] Heartbeat timeout for node_40 (315.8067765235901). Removing...
[ 2026-05-14 05:20:45 | node | INFO ] Heartbeat timeout for node_44 (304.65819573402405). Removing...
[ 2026-05-14 05:20:45 | node | INFO ] Heartbeat timeout for node_36 (319.33857822418213). Removing...
[ 2026-05-14 05:20:46 | node_27 | INFO ] Heartbeat timeout for node_38 (398.9159610271454). Removing...
[ 2026-05-14 05:20:46 | node_27 | INFO ] Heartbeat timeout for node_24 (331.90913224220276). Removing...
[ 2026-05-14 05:20:46 | node_27 | INFO ] Heartbeat timeout for node_6 (335.61054730415344). Removing...
[ 2026-05-14 05:20:46 | node_27 | INFO ] Heartbeat timeout for node_20 (396.35544085502625). Removing...
[ 2026-05-14 05:20:46 | node_28 | INFO ] Heartbeat timeout for node_21 (376.7823004722595). Removing...
[ 2026-05-14 05:20:46 | node_28 | INFO ] Heartbeat timeout for node_46 (379.78211665153503). Removing...
[ 2026-05-14 05:20:46 | node_28 | INFO ] Heartbeat timeout for node_9 (398.0417718887329). Removing...
[ 2026-05-14 05:20:46 | node_28 | INFO ] Heartbeat timeout for node_34 (376.041216135025). Removing...
[ 2026-05-14 05:20:46 | node_28 | INFO ] Heartbeat timeout for node_11 (370.85739493370056). Removing...
[ 2026-05-14 05:20:46 | node_28 | INFO ] Heartbeat timeout for node_12 (372.4474895000458). Removing...
[ 2026-05-14 05:20:46 | node_28 | INFO ] Heartbeat timeout for node_10 (366.62669348716736). Removing...
[ 2026-05-14 05:20:46 | node_28 | INFO ] Heartbeat timeout for node_25 (378.9216673374176). Removing...
[ 2026-05-14 05:20:46 | node_28 | INFO ] Heartbeat timeout for node_29 (375.3660788536072). Removing...
[ 2026-05-14 05:20:46 | node_28 | INFO ] Heartbeat timeout for node_41 (372.90172028541565). Removing...
[ 2026-05-14 05:20:46 | node_28 | INFO ] Heartbeat timeout for node_13 (371.6104459762573). Removing...
[ 2026-05-14 05:20:46 | node_28 | INFO ] Heartbeat timeout for node_17 (377.3337152004242). Removing...
[ 2026-05-14 05:20:46 | node_25 | INFO ] Heartbeat timeout for node_46 (300.0010175704956). Removing...
[ 2026-05-14 05:20:46 | node_12 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 05:20:46 | node_12 | INFO ] ✅ [FORCE] Local model added for round 19. (1/2)
[ 2026-05-14 05:20:46 | node_12 | INFO ] 📤 Sending model to 1 direct neighbors: ['node_35']
[ 2026-05-14 05:20:46 | node_35 | INFO ] 🧩 Model added for round 19 (1/2) from ['node_12']
[ 2026-05-14 05:20:47 | node_38 | INFO ] Heartbeat timeout for node_8 (372.3659324645996). Removing...
[ 2026-05-14 05:20:47 | node_38 | INFO ] Heartbeat timeout for node_45 (374.54254364967346). Removing...
[ 2026-05-14 05:20:47 | node_38 | INFO ] Heartbeat timeout for node_49 (373.4685878753662). Removing...
[ 2026-05-14 05:20:47 | node_38 | INFO ] Heartbeat timeout for node_18 (300.830730676651). Removing...
[ 2026-05-14 05:20:47 | node_38 | INFO ] Heartbeat timeout for node_21 (377.542893409729). Removing...
[ 2026-05-14 05:20:47 | node_38 | INFO ] Heartbeat timeout for node_24 (374.0555901527405). Removing...
[ 2026-05-14 05:20:47 | node_38 | INFO ] Heartbeat timeout for node_26 (378.42227053642273). Removing...
[ 2026-05-14 05:20:47 | node_38 | INFO ] Heartbeat timeout for node_31 (378.52465438842773). Removing...
[ 2026-05-14 05:20:47 | node_38 | INFO ] Heartbeat timeout for node_25 (371.67982006073). Removing...
[ 2026-05-14 05:20:47 | node_14 | INFO ] Heartbeat timeout for node_46 (351.3740191459656). Removing...
[ 2026-05-14 05:20:47 | node_14 | INFO ] Heartbeat timeout for node_30 (349.7784218788147). Removing...
[ 2026-05-14 05:20:47 | node_14 | INFO ] Heartbeat timeout for node_7 (352.99330615997314). Removing...
[ 2026-05-14 05:20:47 | node_14 | INFO ] Heartbeat timeout for node_13 (372.51544213294983). Removing...
[ 2026-05-14 05:20:47 | node_14 | INFO ] Heartbeat timeout for node_39 (373.8699793815613). Removing...
[ 2026-05-14 05:20:47 | node_14 | INFO ] Heartbeat timeout for node_2 (373.63639664649963). Removing...
[ 2026-05-14 05:20:47 | node_14 | INFO ] Heartbeat timeout for node_36 (349.05755615234375). Removing...
[ 2026-05-14 05:20:47 | node_14 | INFO ] Heartbeat timeout for node_16 (304.56608057022095). Removing...
[ 2026-05-14 05:20:47 | node_14 | INFO ] Heartbeat timeout for node_45 (300.34370851516724). Removing...
[ 2026-05-14 05:20:47 | node_14 | INFO ] Heartbeat timeout for node_18 (300.975133895874). Removing...
[ 2026-05-14 05:20:47 | node_14 | INFO ] Heartbeat timeout for node_35 (349.16798973083496). Removing...
[ 2026-05-14 05:20:47 | node_14 | INFO ] Heartbeat timeout for node_38 (352.20254015922546). Removing...
