[ 2026-02-15 22:01:30 | 0.0.0.0:60653 | INFO ] 🔬 Evaluating...
[ 2026-02-15 22:01:30 | 0.0.0.0:35165 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 22:01:30 | 0.0.0.0:39315 | INFO ] 🧩 Model added for round 93 (4/10) from ['0.0.0.0:35401']
[ 2026-02-15 22:01:30 | 0.0.0.0:54425 | INFO ] 🧩 Model added for round 93 (6/11) from ['0.0.0.0:50715']
[ 2026-02-15 22:01:30 | 0.0.0.0:60653 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.353418231010437, 'test_acc': 0.9786324501037598, 'test_precision': 0.9034301042556763, 'test_recall': 0.9108452796936035, 'test_f1': 0.9066532254219055}
[ 2026-02-15 22:01:30 | 0.0.0.0:60653 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 22:01:31 | 0.0.0.0:48911 | INFO ] 🧩 Model added for round 93 (4/10) from ['0.0.0.0:35461']
[ 2026-02-15 22:01:31 | 0.0.0.0:49039 | INFO ] 🧩 Model added for round 93 (8/10) from ['0.0.0.0:45461']
[ 2026-02-15 22:01:31 | 0.0.0.0:59953 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 22:01:31 | 0.0.0.0:48293 | INFO ] 🧩 Model added for round 93 (10/13) from ['0.0.0.0:53735']
[ 2026-02-15 22:01:31 | 0.0.0.0:54425 | INFO ] 🧩 Model added for round 93 (7/11) from ['0.0.0.0:34965']
[ 2026-02-15 22:01:31 | 0.0.0.0:51375 | INFO ] 🧩 Model added for round 93 (4/6) from ['0.0.0.0:57461']
[ 2026-02-15 22:01:31 | 0.0.0.0:53793 | INFO ] 🧩 Model added for round 93 (6/8) from ['0.0.0.0:58125']
[ 2026-02-15 22:01:32 | 0.0.0.0:42453 | INFO ] 🧩 Model added for round 93 (5/12) from ['0.0.0.0:39315']
[ 2026-02-15 22:01:32 | 0.0.0.0:42453 | INFO ] 📤 Sending model to 11 direct neighbors: ['0.0.0.0:43941', '0.0.0.0:40797', '0.0.0.0:48293', '0.0.0.0:35499', '0.0.0.0:35461', '0.0.0.0:35477', '0.0.0.0:57855', '0.0.0.0:39315', '0.0.0.0:53735', '0.0.0.0:51783', '0.0.0.0:57461']
[ 2026-02-15 22:01:32 | 0.0.0.0:42453 | INFO ] 🧩 Model added for round 93 (6/12) from ['0.0.0.0:57461']
[ 2026-02-15 22:01:32 | 0.0.0.0:49039 | INFO ] 🧩 Model added for round 93 (9/10) from ['0.0.0.0:50715']
[ 2026-02-15 22:01:32 | 0.0.0.0:47709 | INFO ] 🧩 Model added for round 93 (8/10) from ['0.0.0.0:51783']
[ 2026-02-15 22:01:33 | 0.0.0.0:43941 | INFO ] 🧩 Model added for round 93 (12/14) from ['0.0.0.0:42453']
[ 2026-02-15 22:01:33 | 0.0.0.0:48911 | INFO ] 🧩 Model added for round 93 (5/10) from ['0.0.0.0:45461']
[ 2026-02-15 22:01:33 | 0.0.0.0:45461 | INFO ] 🧩 Model added for round 93 (8/11) from ['0.0.0.0:35461']
[ 2026-02-15 22:01:33 | 0.0.0.0:51783 | INFO ] 🧩 Model added for round 93 (7/14) from ['0.0.0.0:35401']
[ 2026-02-15 22:01:33 | 0.0.0.0:48293 | INFO ] 📤 Sending model to 12 direct neighbors: ['0.0.0.0:43941', '0.0.0.0:36829', '0.0.0.0:46191', '0.0.0.0:54425', '0.0.0.0:53859', '0.0.0.0:51375', '0.0.0.0:42453', '0.0.0.0:53793', '0.0.0.0:53735', '0.0.0.0:51783', '0.0.0.0:48911', '0.0.0.0:45461']
[ 2026-02-15 22:01:33 | 0.0.0.0:43941 | INFO ] 📤 Sending model to 13 direct neighbors: ['0.0.0.0:54027', '0.0.0.0:40797', '0.0.0.0:48293', '0.0.0.0:45803', '0.0.0.0:55957', '0.0.0.0:39315', '0.0.0.0:35401', '0.0.0.0:42453', '0.0.0.0:53735', '0.0.0.0:51783', '0.0.0.0:48911', '0.0.0.0:38857', '0.0.0.0:58125']
[ 2026-02-15 22:01:33 | 0.0.0.0:37927 | INFO ] 🧩 Model added for round 93 (7/8) from ['0.0.0.0:34965']
[ 2026-02-15 22:01:33 | 0.0.0.0:43941 | INFO ] 🧩 Model added for round 93 (13/14) from ['0.0.0.0:48293']
[ 2026-02-15 22:01:33 | 0.0.0.0:54027 | INFO ] 🧩 Model added for round 93 (8/10) from ['0.0.0.0:43941']
[ 2026-02-15 22:01:33 | 0.0.0.0:51783 | INFO ] 🧩 Model added for round 93 (8/14) from ['0.0.0.0:58125']
[ 2026-02-15 22:01:33 | 0.0.0.0:35461 | INFO ] 🧩 Model added for round 93 (9/10) from ['0.0.0.0:53735']
[ 2026-02-15 22:01:34 | 0.0.0.0:53735 | INFO ] 🧩 Model added for round 93 (7/10) from ['0.0.0.0:39315']
[ 2026-02-15 22:01:34 | 0.0.0.0:46103 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 22:01:35 | 0.0.0.0:46103 | INFO ] 🔬 Evaluating...
[ 2026-02-15 22:01:35 | 0.0.0.0:54027 | INFO ] 🧩 Model added for round 93 (9/10) from ['0.0.0.0:51783']
[ 2026-02-15 22:01:35 | 0.0.0.0:46103 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.1821882128715515, 'test_acc': 0.9779005646705627, 'test_precision': 0.8408028483390808, 'test_recall': 0.8360590934753418, 'test_f1': 0.8381353616714478}
[ 2026-02-15 22:01:35 | 0.0.0.0:35477 | INFO ] 📤 Sending model to 6 direct neighbors: ['0.0.0.0:45803', '0.0.0.0:39315', '0.0.0.0:42453', '0.0.0.0:60653', '0.0.0.0:48911', '0.0.0.0:40143']
[ 2026-02-15 22:01:35 | 0.0.0.0:53859 | INFO ] 🧩 Model added for round 93 (6/8) from ['0.0.0.0:34965']
[ 2026-02-15 22:01:35 | 0.0.0.0:46103 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 22:01:35 | 0.0.0.0:38857 | INFO ] 🧩 Model added for round 93 (5/9) from ['0.0.0.0:50715']
[ 2026-02-15 22:01:40 | 0.0.0.0:40797 | INFO ] 🧩 Model added for round 93 (7/9) from ['0.0.0.0:43941']
[ 2026-02-15 22:01:40 | 0.0.0.0:40797 | INFO ] 🧩 Model added for round 93 (8/9) from ['0.0.0.0:42453']
[ 2026-02-15 22:01:40 | 0.0.0.0:48911 | INFO ] 🧩 Model added for round 93 (6/10) from ['0.0.0.0:35401']
[ 2026-02-15 22:01:40 | 0.0.0.0:35165 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-02-15 22:01:40 | 0.0.0.0:51375 | INFO ] 🧩 Model added for round 93 (5/6) from ['0.0.0.0:53735']
[ 2026-02-15 22:01:40 | 0.0.0.0:35165 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-15 22:01:40 | 0.0.0.0:39315 | INFO ] 🧩 Model added for round 93 (5/10) from ['0.0.0.0:35477']
[ 2026-02-15 22:01:41 | 0.0.0.0:35165 | INFO ] ♻️ Proactively processing 7 early models for round 93.
[ 2026-02-15 22:01:41 | 0.0.0.0:35165 | INFO ] 🧩 Model added for round 93 (1/10) from ['0.0.0.0:38857']
[ 2026-02-15 22:01:41 | 0.0.0.0:36829 | INFO ] 🧩 Model added for round 93 (8/9) from ['0.0.0.0:48293']
