[ 2026-02-16 09:31:35 | 0.0.0.0:49255 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-02-16 09:31:35 | 0.0.0.0:49255 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 09:31:35 | 0.0.0.0:36603 | INFO ] 🧩 Model added for round 94 (9/9) from ['0.0.0.0:41189']
[ 2026-02-16 09:31:36 | 0.0.0.0:49255 | INFO ] ♻️ Proactively processing 10 early models for round 94.
[ 2026-02-16 09:31:36 | 0.0.0.0:41999 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:36 | 0.0.0.0:36603 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:36 | 0.0.0.0:49255 | INFO ] 🧩 Model added for round 94 (1/13) from ['0.0.0.0:59179']
[ 2026-02-16 09:31:36 | 0.0.0.0:49255 | INFO ] 🧩 Model added for round 94 (2/13) from ['0.0.0.0:40721']
[ 2026-02-16 09:31:36 | 0.0.0.0:49255 | INFO ] 🧩 Model added for round 94 (3/13) from ['0.0.0.0:58139']
[ 2026-02-16 09:31:36 | 0.0.0.0:49255 | INFO ] 🧩 Model added for round 94 (4/13) from ['0.0.0.0:39411']
[ 2026-02-16 09:31:36 | 0.0.0.0:49255 | INFO ] 🧩 Model added for round 94 (5/13) from ['0.0.0.0:37687']
[ 2026-02-16 09:31:36 | 0.0.0.0:49255 | INFO ] 🧩 Model added for round 94 (6/13) from ['0.0.0.0:55911']
[ 2026-02-16 09:31:36 | 0.0.0.0:49255 | INFO ] 🧩 Model added for round 94 (7/13) from ['0.0.0.0:46205']
[ 2026-02-16 09:31:36 | 0.0.0.0:49255 | INFO ] 🧩 Model added for round 94 (8/13) from ['0.0.0.0:37919']
[ 2026-02-16 09:31:36 | 0.0.0.0:49255 | INFO ] 🧩 Model added for round 94 (9/13) from ['0.0.0.0:48549']
[ 2026-02-16 09:31:36 | 0.0.0.0:49255 | INFO ] 🧩 Model added for round 94 (10/13) from ['0.0.0.0:33615']
[ 2026-02-16 09:31:36 | 0.0.0.0:41999 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:36 | 0.0.0.0:49255 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 09:31:36 | 0.0.0.0:50899 | INFO ] 🧩 Model added for round 94 (12/12) from ['0.0.0.0:46265']
[ 2026-02-16 09:31:36 | 0.0.0.0:35987 | INFO ] 🧩 Model added for round 94 (6/7) from ['0.0.0.0:53491']
[ 2026-02-16 09:31:36 | 0.0.0.0:33789 | INFO ] 🧩 Model added for round 94 (4/4) from ['0.0.0.0:37353']
[ 2026-02-16 09:31:36 | 0.0.0.0:32981 | INFO ] 🧩 Model added for round 94 (7/9) from ['0.0.0.0:53423']
[ 2026-02-16 09:31:36 | 0.0.0.0:49255 | INFO ] 🎓 Training step done.
[ 2026-02-16 09:31:36 | 0.0.0.0:49255 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 09:31:36 | 0.0.0.0:49255 | INFO ] ✅ [FORCE] Local model added for round 94. (11/13)
[ 2026-02-16 09:31:37 | 0.0.0.0:36603 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:37 | 0.0.0.0:33789 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:37 | 0.0.0.0:47749 | INFO ] 🧩 Model added for round 94 (8/11) from ['0.0.0.0:43413']
[ 2026-02-16 09:31:37 | 0.0.0.0:57981 | INFO ] 📤 Sending model to 9 direct neighbors: ['0.0.0.0:46205', '0.0.0.0:37687', '0.0.0.0:37671', '0.0.0.0:53423', '0.0.0.0:51747', '0.0.0.0:49255', '0.0.0.0:32981', '0.0.0.0:59179', '0.0.0.0:34671']
[ 2026-02-16 09:31:37 | 0.0.0.0:46265 | INFO ] 🧩 Model added for round 94 (14/14) from ['0.0.0.0:41189']
[ 2026-02-16 09:31:37 | 0.0.0.0:50899 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:37 | 0.0.0.0:49255 | INFO ] 🧩 Model added for round 94 (12/13) from ['0.0.0.0:43911']
[ 2026-02-16 09:31:37 | 0.0.0.0:33789 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:37 | 0.0.0.0:43899 | INFO ] 🧩 Model added for round 94 (12/13) from ['0.0.0.0:53491']
[ 2026-02-16 09:31:37 | 0.0.0.0:47749 | INFO ] 🧩 Model added for round 94 (9/11) from ['0.0.0.0:37353']
[ 2026-02-16 09:31:38 | 0.0.0.0:46205 | INFO ] 🧩 Model added for round 94 (10/11) from ['0.0.0.0:57981']
[ 2026-02-16 09:31:38 | 0.0.0.0:43413 | INFO ] 🧩 Model added for round 94 (10/11) from ['0.0.0.0:46265']
[ 2026-02-16 09:31:38 | 0.0.0.0:39411 | INFO ] 🧩 Model added for round 94 (5/6) from ['0.0.0.0:53423']
