[ 2026-03-06 13:53:10 | node_4 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.1402306854724884, 'test_acc': 0.9693877696990967, 'test_precision': 0.7848396897315979, 'test_recall': 0.7758385539054871, 'test_f1': 0.7798706293106079, 'communication_cost': 0}
[ 2026-03-06 13:53:10 | node_8 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.35967445373535156, 'test_acc': 0.9548611044883728, 'test_precision': 0.7458393573760986, 'test_recall': 0.7042303085327148, 'test_f1': 0.7187546491622925, 'communication_cost': 0}
[ 2026-03-06 13:53:10 | node_18 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.5680530667304993, 'test_acc': 0.9433962106704712, 'test_precision': 0.6189473867416382, 'test_recall': 0.6035411953926086, 'test_f1': 0.6075772047042847, 'communication_cost': 0}
[ 2026-03-06 13:53:10 | node_30 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_27 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.12869924306869507, 'test_acc': 0.9611111283302307, 'test_precision': 0.712522029876709, 'test_recall': 0.6980827450752258, 'test_f1': 0.7044687271118164, 'communication_cost': 0}
[ 2026-03-06 13:53:10 | node_40 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_37 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_48 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_19 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_45 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_28 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_43 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_24 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_44 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.29218590259552, 'test_acc': 0.939393937587738, 'test_precision': 0.6363819241523743, 'test_recall': 0.6255840063095093, 'test_f1': 0.6307349801063538, 'communication_cost': 0}
[ 2026-03-06 13:53:10 | node_47 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.16151343286037445, 'test_acc': 0.9605262875556946, 'test_precision': 0.640350878238678, 'test_recall': 0.6235281825065613, 'test_f1': 0.6316940784454346, 'communication_cost': 0}
[ 2026-03-06 13:53:10 | node_20 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_42 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_41 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_13 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_29 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.1133960485458374, 'test_acc': 0.9757084846496582, 'test_precision': 0.6640238165855408, 'test_recall': 0.6637349724769592, 'test_f1': 0.6613489389419556, 'communication_cost': 0}
[ 2026-03-06 13:53:10 | node_32 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.24145957827568054, 'test_acc': 0.965753436088562, 'test_precision': 0.8934550881385803, 'test_recall': 0.9021918177604675, 'test_f1': 0.8958073258399963, 'communication_cost': 0}
[ 2026-03-06 13:53:10 | node_6 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_46 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_35 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_5 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_38 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_23 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_14 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_49 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_39 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_26 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_31 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_21 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_1 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_15 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_36 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_10 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_9 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_7 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_16 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_18 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_8 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_4 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_27 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_44 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_47 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_32 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_29 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:12 | node | INFO ] ⏳ Round 81: Server waiting for 49 updates.
[ 2026-03-06 13:53:12 | node | INFO ] ♻️ Proactively processing 48 early models for round 81.
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (1/49) from ['node_11']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (2/49) from ['node_33']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (3/49) from ['node_3']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (4/49) from ['node_2']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (5/49) from ['node_22']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (6/49) from ['node_12']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (7/49) from ['node_34']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (8/49) from ['node_37']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (9/49) from ['node_19']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (10/49) from ['node_40']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (11/49) from ['node_17']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (12/49) from ['node_30']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (13/49) from ['node_45']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (14/49) from ['node_42']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (15/49) from ['node_28']
