[ 2026-03-06 14:15:52 | None | INFO ] Created experiment folder: /root/p2pfl/experiments/p2pfl_MNIST_RandomIIDPartitionStrategy_FedAvg_model_build_fn_20260306_141552 and copied 99_centralized_mnist_test_verify.yaml
[ 2026-03-06 14:16:07 | node_4 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2713375985622406, 'test_acc': 0.925000011920929, 'test_precision': 0.9239538311958313, 'test_recall': 0.9297476410865784, 'test_f1': 0.9228208661079407, 'communication_cost': 0}
[ 2026-03-06 14:16:07 | node_4 | INFO ] 🚂 Round 4: Client training...
[ 2026-03-06 14:16:07 | node_1 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.25168004631996155, 'test_acc': 0.9350000023841858, 'test_precision': 0.9326077103614807, 'test_recall': 0.9365177154541016, 'test_f1': 0.928752601146698, 'communication_cost': 0}
[ 2026-03-06 14:16:07 | node_1 | INFO ] 🚂 Round 4: Client training...
[ 2026-03-06 14:16:07 | node_3 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:07 | node_3 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.34520745277404785, 'test_acc': 0.8899999856948853, 'test_precision': 0.8973718881607056, 'test_recall': 0.8969519734382629, 'test_f1': 0.8824465870857239, 'communication_cost': 0}
[ 2026-03-06 14:16:07 | node_3 | INFO ] 🚂 Round 4: Client training...
[ 2026-03-06 14:16:07 | node | INFO ] 🧩 Model added for round 4 (1/4) from ['node_4']
[ 2026-03-06 14:16:07 | node | INFO ] 🧩 Model added for round 4 (2/4) from ['node_1']
[ 2026-03-06 14:16:08 | node | INFO ] 🧩 Model added for round 4 (3/4) from ['node_3']
[ 2026-03-06 14:16:08 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:08 | node_2 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.27445632219314575, 'test_acc': 0.9449999928474426, 'test_precision': 0.9307406544685364, 'test_recall': 0.9494541883468628, 'test_f1': 0.9371041655540466, 'communication_cost': 0}
[ 2026-03-06 14:16:08 | node_2 | INFO ] 🚂 Round 4: Client training...
[ 2026-03-06 14:16:08 | node | INFO ] 🧩 Model added for round 4 (4/4) from ['node_2']
[ 2026-03-06 14:16:08 | node | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:08 | node | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3369233012199402, 'test_acc': 0.9350000023841858, 'test_precision': 0.9346763491630554, 'test_recall': 0.9330590963363647, 'test_f1': 0.9303735494613647, 'communication_cost': 3764136}
[ 2026-03-06 14:16:08 | node | INFO ] ⏳ Round 5: Server waiting for 4 updates.
[ 2026-03-06 14:16:08 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:08 | node_2 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3309304416179657, 'test_acc': 0.9200000166893005, 'test_precision': 0.9144420027732849, 'test_recall': 0.9357683658599854, 'test_f1': 0.9205496311187744, 'communication_cost': 0}
[ 2026-03-06 14:16:08 | node_2 | INFO ] 🚂 Round 5: Client training...
[ 2026-03-06 14:16:08 | node_4 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:08 | node_1 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:09 | node_1 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.20821630954742432, 'test_acc': 0.9399999976158142, 'test_precision': 0.9451040029525757, 'test_recall': 0.9377055168151855, 'test_f1': 0.9388035535812378, 'communication_cost': 0}
[ 2026-03-06 14:16:09 | node_1 | INFO ] 🚂 Round 5: Client training...
[ 2026-03-06 14:16:09 | node_4 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.34809836745262146, 'test_acc': 0.9150000214576721, 'test_precision': 0.9136554002761841, 'test_recall': 0.9173125624656677, 'test_f1': 0.9110084772109985, 'communication_cost': 0}
[ 2026-03-06 14:16:09 | node_4 | INFO ] 🚂 Round 5: Client training...
[ 2026-03-06 14:16:09 | node | INFO ] 🧩 Model added for round 5 (1/4) from ['node_2']
[ 2026-03-06 14:16:09 | node_3 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:09 | node_3 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3294259309768677, 'test_acc': 0.9200000166893005, 'test_precision': 0.9259028434753418, 'test_recall': 0.9110029339790344, 'test_f1': 0.9153242707252502, 'communication_cost': 0}
[ 2026-03-06 14:16:09 | node_3 | INFO ] 🚂 Round 5: Client training...
[ 2026-03-06 14:16:09 | node | INFO ] 🧩 Model added for round 5 (2/4) from ['node_1']
[ 2026-03-06 14:16:09 | node | INFO ] 🧩 Model added for round 5 (3/4) from ['node_4']
[ 2026-03-06 14:16:09 | node | INFO ] 🧩 Model added for round 5 (4/4) from ['node_3']
[ 2026-03-06 14:16:09 | node | INFO ] 🔬 Evaluating...
