[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] ✅ [FORCE] Local model added. (1/4)
[ 2026-02-15 08:40:36 | 0.0.0.0:45333 | INFO ] 📤 Sending model to 4 direct neighbors: ['0.0.0.0:41199', '0.0.0.0:54877', '0.0.0.0:48049', '0.0.0.0:35933']
[ 2026-02-15 08:40:36 | 0.0.0.0:41199 | INFO ] 🧩 Model added (2/4) from ['0.0.0.0:45333']
[ 2026-02-15 08:40:36 | 0.0.0.0:44055 | INFO ] 📤 Sending model to 2 direct neighbors: ['0.0.0.0:54877', '0.0.0.0:45753']
[ 2026-02-15 08:40:37 | 0.0.0.0:41199 | INFO ] 📤 Sending model to 3 direct neighbors: ['0.0.0.0:45333', '0.0.0.0:35933', '0.0.0.0:41895']
[ 2026-02-15 08:40:37 | 0.0.0.0:41895 | INFO ] 📤 Sending model to 4 direct neighbors: ['0.0.0.0:41199', '0.0.0.0:59479', '0.0.0.0:58027', '0.0.0.0:38361']
[ 2026-02-15 08:40:37 | 0.0.0.0:35933 | INFO ] 🧩 Model added (5/5) from ['0.0.0.0:41199']
[ 2026-02-15 08:40:37 | 0.0.0.0:58027 | INFO ] 🧩 Model added (4/5) from ['0.0.0.0:41895']
[ 2026-02-15 08:40:37 | 0.0.0.0:41199 | INFO ] 📤 Sending model to 3 direct neighbors: ['0.0.0.0:45333', '0.0.0.0:35933', '0.0.0.0:41895']
[ 2026-02-15 08:40:37 | 0.0.0.0:35933 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:40:37 | 0.0.0.0:48409 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 08:40:37 | 0.0.0.0:41895 | INFO ] 🧩 Model added (3/5) from ['0.0.0.0:41199']
[ 2026-02-15 08:40:37 | 0.0.0.0:48409 | INFO ] 🔬 Evaluating...
[ 2026-02-15 08:40:37 | 0.0.0.0:35933 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:40:37 | 0.0.0.0:48409 | INFO ] 📈 Evaluated. Results: {'test_loss': 2.1798293590545654, 'test_acc': 0.9399999976158142, 'test_precision': 0.9402675628662109, 'test_recall': 0.9279659986495972, 'test_f1': 0.92926424741745}
[ 2026-02-15 08:40:37 | 0.0.0.0:48409 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 08:40:37 | 0.0.0.0:48409 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 08:40:37 | 0.0.0.0:48409 | INFO ] 🎉 Round 52 of 100 finished.
[ 2026-02-15 08:40:37 | 0.0.0.0:48409 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 49
[ 2026-02-15 08:40:37 | 0.0.0.0:48409 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:40:37 | 0.0.0.0:48409 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 08:40:37 | 0.0.0.0:48409 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:40:37 | 0.0.0.0:48409 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:40:37 | 0.0.0.0:48409 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:40:37 | 0.0.0.0:48409 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:40:37 | 0.0.0.0:59479 | INFO ] 🧩 Model added (2/5) from ['0.0.0.0:45597']
[ 2026-02-15 08:40:37 | 0.0.0.0:48409 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:40:37 | 0.0.0.0:48409 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:40:37 | 0.0.0.0:48409 | INFO ] ✅ [FORCE] Local model added. (1/3)
