[ 2026-03-06 14:03:46 | node_48 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.11536230146884918, 'test_acc': 0.9693877696990967, 'test_precision': 0.8776319622993469, 'test_recall': 0.8593811392784119, 'test_f1': 0.8677526712417603, 'communication_cost': 0}
[ 2026-03-06 14:03:46 | node_41 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (10/49) from ['node_15']
[ 2026-03-06 14:03:46 | node_44 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2805970013141632, 'test_acc': 0.9481865167617798, 'test_precision': 0.7595198750495911, 'test_recall': 0.7369757890701294, 'test_f1': 0.746942400932312, 'communication_cost': 0}
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (11/49) from ['node_16']
[ 2026-03-06 14:03:46 | node_48 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (12/49) from ['node_8']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (13/49) from ['node_18']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (14/49) from ['node_14']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (15/49) from ['node_3']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (16/49) from ['node_11']
[ 2026-03-06 14:03:46 | node_44 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (17/49) from ['node_9']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (18/49) from ['node_17']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (19/49) from ['node_21']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (20/49) from ['node_19']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (21/49) from ['node_20']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (22/49) from ['node_23']
[ 2026-03-06 14:03:46 | node_37 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.15833580493927002, 'test_acc': 0.9502487778663635, 'test_precision': 0.7825160026550293, 'test_recall': 0.7660645246505737, 'test_f1': 0.7732665538787842, 'communication_cost': 0}
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (23/49) from ['node_26']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (24/49) from ['node_4']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (25/49) from ['node_28']
[ 2026-03-06 14:03:46 | node_37 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (26/49) from ['node_27']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (27/49) from ['node_25']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (28/49) from ['node_24']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (29/49) from ['node_29']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (30/49) from ['node_30']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (31/49) from ['node_31']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (32/49) from ['node_32']
